,interpret_hlavni,track,youtube
106979,Nightwork,Čekám na signál,
107004,David Deyl,Počítám,
107007,Snoop Dogg,Young Wild & Free,
107010,Jessie J.,Domino,
107011,Voxel,V síti,
107024,Flo Rida,Wild Ones,
107035,Markéta Konvičková,Smutná,
107036,Christina Perri,Thousand Years,
107103,Madonna,Give Me All Your Luvin',
107112,Nebe,Legosvět,
107120,Dj Tiesto,Maximal Crazy,
107128,Lipo,Ležím v tvé blízkosti,
107136,Train,Drive By,
107219,Kelly Clarkson,Stronger (What Doesn´t Kill You),
107220,Mr. Le Monde,Party Girl,
107224,Jiří Suchý,Kdykoliv kdekoliv,
107232,Drake,Take Care,
107249,Eddie Stoilow,Elita,
107303,Anna K.,Moudřejší než noc,
107318,Bruno Mars,Count On Me,
107338,Charlie Straight,Coco,
107432,Madonna,Masterpiece,
107445,Katy Perry,Part Of Me,
107510,Fun.,We Are Young,
107515,Celeste Buckingham,Nobody Knows,
107546,Elis,Depressing Valentine' s,
107547,Lmfao,Sorry For Party Rocking,
107611,Emeli Sandé,Next To Me,
107627,Calvin Harris,Feel So Close,http://www.youtube.com/watch?v=dGghkjpNCQ8
107630,Elán,Kde si,
107641,K'Naan,Is Anybody Out There?,
107693,Tomáš Klus,Pánubohudooken,
107704,Chuckie,What Happens In Vegas,
107722,Jason Derulo,Breathing,
107742,Marek Ztracený,Káva a sex,
107831,Empire Of The Sun,We Are The People,
107837,Madonna,Girl Gone Wild,
107841,Reid Alyssa,Alone Again,
107922,Kristina,Jabĺčko,
107988,Sean Paul,She Doesn't Mind,
107992,B.O.B.,So Good,
108005,Pitbull,Back In Time,
108009,Cover Drive,Twilight,
108015,Far East Movement,Live My Life,
108017,Carly Rae Jepsen,Call Me Maybe,
108027,Chris Brown,Turn Up The Music,
108028,Dj Fresh,Hot Right Now,
108046,Michal Hrůza,Namaluj svítání,
108108,Jennifer Lopez,Dance Again,
108117,One Direction,What Makes You Beautiful,
108121,Peter Bič Project,Hey Now,
108126,Serebro,Mama Luba,
108133,Lana Del Rey,Born To Die,
108140,Cruz Taio,Troublemaker,
108149,No Name,Svetlo,
108216,Michael Burian,Beautiful Love,
108238,Linkin Park,Burn It Down,
108246,Nicki Minaj,Starship,
108291,Rihanna,Where Have You Been,
108301,Basto!,Again and Again,
108329,Daddy Yankee,Lovumba,
108330,Václav Neckář,Na Rafandě,
108345,Maroon 5,Payphone,
108512,Calvin Harris,Let´s Go,
108515,Flo Rida,Whistle,
108517,Tacabro,Tacata´,
108518,Mandrage,Mechanik,
108523,Aura Dione,Friends,
108536,Simple Plan,Summer Paradise,
108540,Alexandra Burke,Elephant,
108628,Lima Gusttavo,Balada,
108632,Oceana,Endless Summer,
108635,Rita Ora,R.I.P.,
108637,Martin Solveig,Night Out,
108638,Coco Jambo,Bom Dia,
108667,Olly Murs,Heart skips a beat,
108717,Xindl X,Zlato,
108726,Miloš Novotný,Zachraň co se dá,
108738,Offspring,Cruising California,
108740,Hodor Liviu,Sweet Love,
108810,Keane,Silenced By The Night,
108817,Ellie Goulding,Lights,
108819,Wanted,Chasing The Sun,
108825,Loreen,Euphoria,
108830,Usher,Scream,
108838,Kylie Minogue,Timebomb,
108839,Bimbo Jones,See You Later,
108905,Coldplay,Princess Of China,
108919,Katy Perry,Wide Awake,
108927,Celeste Buckingham,Run Run Run,
108938,Mista,Ca$h Out,
109021,Will.I.Am,This Is Love,
109024,Karmin,Brokenhearted,
109042,Rudimental,Feel The Love,
109044,Digital Fever,With You (la la la),
109047,Markéta Konvičková,Bye Bye,
109115,Clare Alex,Too Close,
109116,Cheryl Cole,Call My Name,
109123,Dj Fresh,Power,
109143,Lucie Vondráčková,Ty jsi ten nej (DJ Stonebridge remix),
109146,Memphis,Sunshine,
109216,Gym Class Heroes,Fighter,
109224,Brown Havana,We Run The Night,
109228,Alexandra Stan,Lemonade,
109230,The Tap Tap,Řiditel autobusu,
109233,Coco Jambo,Double Party,
109234,Ferrari Alex,Bara Bara Bere Bere,
109238,R.I.O.,Party Shaker,
109244,Lucie,Chci zas v tobě spát,
109245,Tereza Kerndlová,Tepe srdce mý,
109311,Gloria Estefan,Hotel National,
109322,Ego,Žijeme len raz,
109329,Chad Kroeger,Hero,
109400,P!Nk,Blow Me (One Last Kiss),
109418,Green Day,Oh Love,
109434,Anna Jiřina,Narovnaná v zádech,
109436,O5,Ripapá,
109441,Owl City,Good Time,
109444,Flo Rida,Run,
109520,Of Monsters And Men,Little Talks,
109531,Zaz,Je veux,
109543,Petr Kolář,Čas nás naučí,
109646,Airfare,Summer Girl,
109703,Sam And The Womp,Bom Bom,
109721,Fun.,Some Nights,
109726,Kryštof,Inzerát,
109746,Lykke Li,I Follow Rivers,
109748,Aneta Langerová,Vzpomínka,
109834,Noel Sak,Where,
109835,Pop David,Don't Give Up (The Fight),
109840,Florence,Spectrum,
109843,David Guetta,I Can Only Imagine,
109846,Chris Brown,Don´t Wake Me Up,
109848,Far East Movement,Turn Up The Love,
109910,Wiley,Heatwave,
109934,Lucie Vondráčková,Kdy vzlétnu já,
109935,Nicki Minaj,Pound The Alarm,
109946,Skipe,Mezi nebem a zemí,
110010,Taylor Swift,We Are Never Ever Getting Back Together,
110012,Maroon 5,One More Night,
110024,Lana Del Rey,Summertime Sadness,
110035,Rita Ora,How We Do (Party),
110106,Avidan Asaf,One Day/Reckoning Song,
110122,David Guetta,She Wolf (Falling To Pieces),
110124,Lloyd Cher,Want U Back,
110127,Neon Trees,Everybody Talks,
110130,Pitbull,Get It Started,
110131,Walda Gang,Opičáci,
110140,Richard Müller,"Klid, mír a pokora",
110180,Psy,Gangnam Style,
110220,Grouplove,Tongue Tied,
110227,Chinaski,Ententýky,
110285,Robbie Williams,Candy,
110306,Walda Gang,Svařák,
110319,Script,Hall Of Fame,
110322,Calvin Harris,We´ll Be Coming Back,
110331,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),
110334,Justin Bieber,As Long As You Love Me,
110341,Kateřina Marie Tichá,Vzpomínej,
110346,Ivanna Bagová,I´m Not Dancing On My Own,
110416,Enrique Iglesias,Finally Found You,
110428,Swedish House Mafia,Don’t You Worry Child,
110443,Eki,"Ok, Alright",
110444,Peter Bič Project,Say It Loud,
110445,Flo Rida,I Cry,
110498,Rihanna,Diamonds,http://www.youtube.com/watch?v=lWA2pjMjpBs
110510,Miro Žbirka,In The Sun,
110513,Train,50 Ways To Say Goodbye,
110527,Tomáš Hanák,Cesta do lesa,
110542,Little Mix,WINGS,
110543,Debbi,By My Side,
110546,One Direction,Live While Were Young,
110548,Shaun Baker,There´s Nothing I Won´t,
110549,Example,Say Nothing,
110637,Ke$Ha,Die Young,
110638,Lily Amelia,You Bring Me Joy,
110644,David Deyl,Přímý zásah (2012),
110646,Adele,Skyfall,
110647,K´ Naan,Hurt Me Tomorrow,
110701,Karel Gott,Já toužil plout,
110743,Xindl X,Štědrej večer nastal,
110811,Těžkej Pokondr,"Skriňa, čo ma drží nad vodou",
110816,Muse,Madness,
110823,Bruno Mars,Locked Out Of Heaven,
110827,Ellie Goulding,Anything Could Happen,
110832,Scooter,4 AM,
110845,Alex Gaudino,I Don´t Wanna Dance,
110849,Hardwell,Call Me A Spaceman,
110903,P!Nk,Try,
110912,Marek Ztracený,V opilosti,
110914,Ingrosso Sebastian,Calling (Lose My MInd),
110920,Alicia Keys,Girl On Fire,
111020,Lumineers,Ho Hey,
111021,Nicki Minaj,Va Va Voom,
111031,Justin Bieber,Beauty And Beat,
111036,Kelly Clarkson,Catch My Breath,
111045,Nela,So In Love,
111106,Jitka Charvátová,Timeless,
111107,Labrinth,Last Time,
111110,Lucie Bílá,Jsem tvůj tichý pacient,
111127,Verona,Fallin´ In Love,
111130,Pitbull,Don´t Stop The Party,
111138,Celeste Buckingham,Never Be You,
111142,Airfare,Drive,
111211,Christina Aguilera,Your Body,
111221,Tomáš Klus,Ledaco,
111230,Mista,Show Me,
111231,Serebro,Gun,
111239,Olly Murs,Troublemaker,
111244,Calvin Harris,Sweet Nothing,
111312,Rudimental,Not Giving In,
111313,Usher,Numb,
111322,Otto Knows,Million Voices,
111386,Kateřina Brožová,Večer velkých přání,
111402,Will.I.Am,Scream and Shout,
111412,Kryštof,Křídla z mýdla,
111415,Imagine Dragons,It´s Time,
111433,No Name,Biela krása,
111444,Koyu Deniz,Follow You,
111502,David Deyl,Nádherná zář,
111505,Ego,Každý deň,
111510,Lenka,Everything At Once,
111513,Taylor Swift,I Knew You Were Trouble,
111515,Lucie Vondráčková,Vánoce bílý,
111524,Clou,1000,
111526,John Lennon,Happy Xmas (War Is Over),
111538,Gold 1,This Is My Love,
111541,Desmod,Otvorím ťa dokorán,
111543,Queen,Thank God It´s Christmas,
111547,Janek Ledecký,Ryba rybě,
111548,Melanie Thornton,Wonderful Dream,
111610,Eddie Stoilow,Movember Love,
111617,Ludacris,Rest of My Life,
111724,Aplin Gabrielle,The Power of Love,
111734,Labrinth,Beneath Your Beautiful,
111735,Basto!,Rave You,
111740,Sue Selah,This World,
111743,Lenka Nová,Plachetnice,
111818,Rihanna,Stay,
111822,Bon Jovi,Because We Can,
111825,Avicii Vs. Nicky Romero,I Could Be The One - Nicktim,
111830,Gough Ivan,In My Mind,
111906,Birdy,People Help The People,
111910,Biffy Clyro,Black Chandelier,
111911,Feed Me,Love Is All I Got,
111917,Karolína Krézlová,Sip It Lick It,
111923,Lipo,Do města přišla zima,
111924,Macklemore,Thrift Shop,
111930,Pitbull,Feel This Moment,
111936,Icona Pop,I Love It,
111943,Breakz,Let´s Go,
111946,Bingo Players,Get Up (Rattle),
111948,Skylar Grey,C' Mon Let Me Ride,
112015,Timberlake Justin,Suit & Tie,
112019,Bruno Mars,When I Was Your Man,
112026,Michal Hrůza,Duše do vesmíru,
112036,Maroon 5,Daylight,
112038,Xindl X,Dočasná svatá,
112039,Raego,Jediný co mám,
112046,Hardwell,Apollo,
112047,Calvin Harris,Drinking From The Bottle,
112120,Lucie Vondráčková,Co s tou touhou,
112211,David Guetta,Just One Last Time,
112222,Ke$Ha,C´Mon,
112243,Coco Jambo,Modlitba,
112277,K-Maro,Let´s Go,
112308,One Direction,Kiss You,
112316,Phillips Phillip,Home,
112318,Flo Rida,Let It Roll,
112323,Hadouken!,Levitate,
112324,R.E.M.,Animal,
112333,Fall Out Boy,My Songs Know What You Did In The Dark,
112335,Nicky Romero,Like Home,
112349,Majk Spirit,I Am The One,
112428,Maynard Conor,Animal,
112432,Flo Rida,Sweet Spot,
112447,P!Nk,Just Give Me A Reason,http://www.youtube.com/watch?v=OpQFFLBMEPI
112502,Anna K.,Tamaryšek,
112513,Bugg Jake,Lightning Bolt,
112521,Ranx Jutty,I See You,
112525,Marek Ztracený,Sex s ex,
112535,Debbi,You Take Me There,
112542,Dj Ross,Baker Street,
112545,Shakira,Je l´aime a mourir,
112618,Bastille,Pompeii,
112635,Doctor P.P.,Zdravý doktor,
112644,Katarína Knechtová,Zločin,
112695,James Arthur,Impossible,http://www.youtube.com/watch?v=lJqbaGloVxg
112724,One Direction,One Way Or Another,
112727,Arash,She Makes Me Go,
112729,Wiley,Reload,
112733,Cascada,Glorious,
112747,Dj Antoine,Bella vita,
112779,Justin Timberlake,Mirrors,
112804,Mendler Bridgit,Ready Or Not,
112816,Peter Bič Project,Thinking About You,
112823,Krewella,Alive,
112824,Rezai Ramin,I Should Be,
112829,P!Nk,Just Like A Pill,
112835,Dj Fresh,Gold Dust (Shy FX Re-Edit),
112845,Passenger,Let Her Go,
112929,Divokej Bill,Vstávej,
112933,Suvereno,Empatia,
112987,Nelly,Hey Porsche,
112998,Will.I.Am,#thatPOWER,
113011,Macklemore,Can´t Hold Us,http://www.youtube.com/watch?v=2zNSgSzhBfM
113013,Miro Žbirka,Love Shines,
113017,Kryštof,Zatančím,
113031,Jordan Alexis,Acid Rain,
113038,Justin Bieber,Nothing Like Us,
113044,Olly Murs,Army of Two,
113104,David Deyl,Budu tu stát,
113109,Script,If You Could See Me Now,
113112,Brown Charlie,On My Way,
113123,Imagine Dragons,Radioactive,http://www.youtube.com/watch?v=ktvTqknDobU
113124,Rihanna,Pour It Up,
113181,Psy,Gentleman,
113196,Calvin Harris,I Need Your Love,
113224,Rudimental,Waiting All Night,http://www.youtube.com/watch?v=M97vR2V4vTs
113241,Mkto,Thank You,
113315,Alex Hepburn,Under,
113316,Robin Thicke,Blurred Lines,
113320,David Guetta,Play Hard,
113322,Demi Lovato,Heart Attack,
113341,Kollerband,Lehká,
113380,Daft Punk,Get Lucky,http://www.youtube.com/watch?v=5NV6Rdv1a3I
113399,Duke Dumont,Need You (100%),
113428,Avril Lavigne,Here's To Never Growing Up,
113441,Armin Van Buuren,This Is What It Feels Like,
113516,Thirty Seconds To Mars,Up In The Air,
113520,Celeste Buckingham,I Was Wrong,
113524,Nightwork,4-3-2-1-Tancuj,
113529,No Name,Sľuby,
113532,Katarína Knechtová,Isabel,
113541,Little Mix Vs. Missy Elliott,How Ya Doing,
113543,Nicole Scherzinger,Boomerang,
113547,Emerald Caro,Tangled Up,
113549,Khaled,C´est la vie,
113594,Wanted,Walks Like Rihanna,
113613,Afrojack,As Your Friend,
113614,Ola,I´m In Love,
113626,Nesbitt Nina,Stay Out,
113649,Italobrothers,This Is Nightlife,
113717,Linkin Park,Castle of Glass,
113730,Jennifer Lopez,Live It Up,
113738,Selena Gomez,Come & Get It,
113746,Kristina,Život je vždy fajn,
113827,We On The Moon,The Ocean Sky,
113832,Citizens!,True Romance,
113833,Fergie,A Little Party Never Killed Nobody (All We Got),
113836,Airfare,Hands Up,
113902,2 Chainz,We Own It (Fast & Furious),
113906,Naughty Boy,La La La,
113926,Support Lesbiens,Changes,
114007,Mandrage,Na dlani,
114009,Bruno Mars,Treasure,
114031,Verona,Volnej pád,
114032,Madcon,One Life,
114042,Capital Cities,Safe and Sound,
114106,Lucie Vondráčková,Zombie,
114122,Eddie Stoilow,Baby,
114123,Ille,Holka ve tvý skříni,
114134,P!Nk,True Love,
114204,Avicii,Wake Me Up,http://www.youtube.com/watch?v=IcrbM1l_BoI
114225,Lenny,All My Love,
114228,Tom Odell,Another Love,
114230,Major Lazer,Watch Out For This,
114231,Palmer Robert,True Love,
114232,Petr Kolář,Žijeme z lásky,
114241,Gentleman,You Remember,
114328,Nebe,Vteřina,
114333,Adam Mišík,Tvoje světy,
114416,Geo Da Silva,Boom Yee,
114417,John Newman,Love Me Again,http://www.youtube.com/watch?v=CfihYWRWRTQ
114433,Jaro Smejkal,Nevermind,
114441,Ingrosso Sebastian,Reload,
114521,Empire Of The Sun,Alive,
114542,Ellie Goulding,Burn,http://www.youtube.com/watch?v=CGyEd0aKWZE&feature=youtu.be
114545,Miley Cyrus,We Can't Stop,
114598,Jason Derulo,The Other Side,
114629,I Am Kuba,Keep It Simple,
114634,Kryštof,Cesta,www.youtube.com/watch?v=pX1eKLsmDmw
114638,Icona Pop,Girlfriend,
114643,Macklemore,Same Love,
114648,Dj Rockstar,Je to Fajn,
114688,Olly Murs,Dear Darlin´,
114719,Onerepublic,Counting Stars,http://www.youtube.com/watch?v=hT_nvWreIhg
114732,Will.I.Am,Bang Bang,
114803,Flo Rida,Can't Believe It,
114815,Jay-Z,Holy Grail,
114834,One Direction,Best Song Ever,
114838,Sean Paul,Other Side of Love,
114841,Zara Larsson,Uncover,
114907,Katy Perry,Roar,http://www.youtube.com/watch?v=CevxZvSJLk8
114917,Chinaski,Stížnost!,
114921,Lady Gaga,Applause,
114935,Portless,Dream a Dream,
114936,Lopez Sasha,Beautiful Life,
114941,Celeste Buckingham,Gone,
114943,Daniel Mrózek,Drobný ty si nech ...,
115024,Remady,Holidays,
115025,David Deyl,Snům se neubráním,
115027,Calvin Harris,Thinking About You,
115038,Mike Candys,Everybody,
115039,Enrique Iglesias,Turn The Night Up,
115044,Martin Solveig,Hey Now,
115122,Richard Müller,Po schodoch,
115123,Zagorová,Můj čas,https://www.youtube.com/playlist?list=PLyKTBrZTngWBPm81bTjuF2uPMXjp7WL0T
115228,Avicii,You Make Me,
115243,Kristina,Rozchodovy´ Reggaeton,
115244,Bek Ofis,Waterfall,
115247,James Blunt,Bonfire Heart,
115298,Eminem,Berzerk,
115308,Stromae,Papaoutai,
115310,Lorde,Royals,http://www.youtube.com/watch?v=LFasFq4GJYM
115314,Naughty Boy,Lifted,
115340,Example,All The Wrong Places,
115342,Selena Gomez,Slow Down,
115343,Miley Cyrus,Wrecking Ball,http://www.youtube.com/watch?v=My2FRPA3Gf8
115420,Avril Lavigne,Rock N´ Roll,
115421,Kateřina Marie Tichá,Tančíme spolu,
115439,Krewella,Live For The Night,
115440,Mig 21,Mávej,
115443,Foxx Ray,Boom Boom (Heartbeat),
115448,Placebo,Too Many Friends,
115449,Suvereno,Nech sa darí,
115482,Britney Spears,Work Bitch,
115516,Walda Gang,Čert ví,
115521,Jason Derulo,Talk Dirty,
115529,Coldplay,Atlas,
115532,Onerepublic,If I Lose Myself,
115546,Klangkarussell,Sonnentanz (Sun Don't Shine),
115598,Zedd,Clarity,
115602,Drake,Hold On We're Going Home,
115622,Tinie Tempah,Children Of The Sun,
115635,Bastille,Things We Lost In The Fire,
115690,Rihanna,What Now,
115698,James Arthur,You're Nobody 'til Somebody Loves You,
115707,Van Buuren Armin,Beautiful Life,
115714,Anna Jiřina,Mlha za duhou,
115716,Imagine Dragons,Demons,http://www.youtube.com/watch?v=mWRsgZuwf_8
115722,Wanted,We Own The Night,
115724,Redfoo,Let´s Get Ridiculous,
115733,Raego,Milionári,
115746,R.I.O.,Komodo (Hard Nights),
115748,Jason Derulo,Talk DirtyXXX,
115749,Imagine Dragons,Monster,
115790,Mandrage,Siluety,
115819,Birdy,Wings,
115820,Dj Bobo,Take Control,
115836,Nonono,Pumpin´ Blood,
115839,Afrojack,The Spark,
115840,Thirty Seconds To Mars,Do Or Die,
115844,Nightwork,Čauki Mňauki,
115849,Zedd,Stay The Night,
115879,Ylvis,The Fox (What Does The Fox Say?),
115911,Pitbull,Timber,http://www.youtube.com/watch?v=zHESy8XsJPs&feature=youtu.be
115929,John Newman,Cheating,
115939,Support Lesbiens,The City,
115940,Michal Hrůza,Světozor,
115948,Avicii,Hey Brother,http://www.youtube.com/watch?v=YxIiPLVR6NA
116016,Verona,Láskoproud,
116033,Eminem,THE Monster,http://www.youtube.com/watch?v=EHkozMIXZ8w
116041,Alex Gaudino,Missing You,
116043,Maxsta,Wanna Go,
116109,Doctor P.P.,Jsem dokonalej,
116135,Lady Gaga,Do What U Want,
116141,Iné Kafe,Špinavé objatie,
116186,Celeste Buckingham,Crushin´ My Fairytale,
116207,Katy Perry,Unconditionally,
116213,Avril Lavigne,Let Me Go,
116217,Divokej Bill,Dolsin,
116221,Milky Chance,Stolen Dance,http://www.youtube.com/watch?v=c_CWL8gNQTg
116229,Olga Lounová,Brány svaté (Halellujah),
116234,Michael Bublé,It's A Beautiful Day,
116242,One Direction,Story Of My Life,
116311,Atmo Music,Andělé,http://www.youtube.com/watch?v=pxxww2O6I_k
116340,Flo Rida,How I Feel,
116424,Calvin Harris,Under Control,http://www.youtube.com/watch?v=yZqmarGShxg
116429,Portless,Hero,
116436,Showtek,Booyah,
116477,Dan Bárta,Na nebi svítí,
116486,Lily Allen,Hard Out Here,
116498,Miro Žbirka,Vianočná (o prímerí),
116511,Marek Ztracený,Snad se něco stane,
116531,Macklemore,White Walls,
116545,Dj Antoine,House Party,
116547,Apl.De.Ap,Going Out,
116628,Michael Bublé,White Christmas,
116629,Eddie Stoilow,Take It,
116639,Funkstar Deluxe,You Keep Me Hanging On,
116646,David Deyl,Svatý čas,
116648,Jan Kalousek,Bílý kraj,
116695,Pharrell Williams,Happy,https://www.youtube.com/watch?v=y6Sxv-sUYtM
116727,Berry Maty,Giving,
116731,E2 Crew,Vánoční hymna,
116732,Lenny,Letter To You,
116744,Martin Garrix,Animals,http://www.youtube.com/watch?v=gCYcHz2k5x0
116745,Klingande,Jubel,http://www.youtube.com/watch?v=b6vSf0cA9qY
116788,A Great Big World,Say Something,
116812,Sam Smith,Money On My Mind,http://www.youtube.com/watch?v=K0G9T5Bnjlc
116827,John Newman,Losing Sleep,
116837,Vamps,Can We Dance,
116845,Mccoy Travie,Rough Water,
116846,Tiësto,Red Lights,
116913,Jason Derulo,Trumpets,
116921,Bastille,Of The Night,https://www.youtube.com/watch?v=ZCTDKLjdok4
116946,Robbie Williams,Go Gentle,
116980,Xindl X,Barbína,http://www.youtube.com/watch?v=wiO352j9aug
116982,Faul,Changes,http://www.youtube.com/watch?v=Cj25UpcBDt0&feature=youtu.be
117018,Lorde,Team,
117025,Miley Cyrus,Adore You,
117031,Enrique Iglesias,I'm A Freak,
117032,Beyoncé,Drunk In Love,
117034,Rybičky 48,Bohém zapomenutý dítě,
117045,Shakira,Can't Remember to Forget You,http://www.youtube.com/watch?v=o3mP3mJDL2k
117048,Disco Boys,Watch Out,
117104,Klara,Survival,
117120,Jakub Ondra,Malý princ,
117134,James Arthur,Recovery,
117139,U2,Ordinary Love,
117142,Demi Lovato,Neon Lights,
117196,Chinaski,Hlavolam,http://www.youtube.com/watch?v=pEWH358dEvI
117214,Mandrage,Tanči dokud můžeš,
117220,Lion Of Ido,Hard To Love,
117230,Michele Lea,Cannonball,
117236,Katy B,Crying For No Reason,
117238,Ed Sheeran,Give Me Love,
117240,Bodybangers,Pump Up The Jam,
117242,Hardwell,Dare You,
117325,Katy Perry,Dark Horse,https://www.youtube.com/watch?v=0KSOMA3QBU0
117414,Tomáš Klus,Napojen,http://www.youtube.com/watch?v=u980iDM7raA
117426,Wohnout,Barbie Song,
117428,Sinplus,Up To Me,
117435,Avicii,Addicted To You,http://www.youtube.com/watch?v=Qc9c12q3mrc&feature=youtu.be
117447,Clean Bandit,Rather Be,https://www.youtube.com/watch?v=m-M1AtrxztU
117499,Aloe Blacc,The Man,
117511,Miro Žbirka,Fair Play,
117513,John Legend,All Of Me,
117516,B.O.B,John Doe,
117537,David Guetta,Shot Me Down,http://www.youtube.com/watch?v=yV3os0MoXIo
117548,Magic Box,Scream My Name,
117597,Twiins,One Night Stand,
117623,Ellie Goulding,Goodness Gracious,
117642,Marpo,Jsi nebezpečná,
117730,Peter Aristone,Cool As You,
117738,Foster The People,Coming of Age,
117748,Daughtry,Waiting For Superman,
117795,Nebe,Než se rozední,
117812,Cab Cris,Liar Liar,
117813,Celeste Buckingham,I'm Not Sorry,
117814,Mista,Go Wild,
117822,Wilkinson,Afterglow,
117823,American Authors,Best Day Of My Life,
117830,Chainsmokers,#SELFIE,http://www.youtube.com/watch?v=kdemFfbS5H0
117893,Všichni Svatí,Vytáhni mě z davu,
117921,Mr. Probz,Waves,http://www.youtube.com/watch?v=6MH9qWemtPo&feature=youtu.be
117927,Adam Mišík,Já nechci víc,
117938,Monika Absolonová,Co zbývá nám,
117940,Thirty Seconds To Mars,City Of Angels,
117948,Support Lesbiens,Love Is Nonsense,
118023,Lake Malawi,Always June,
118025,Muse,Survival,
118038,Capital Cities,One Minute More,
118116,Justin Timberlake,Not a Bad Thing,
118124,Coldplay,Magic,http://www.youtube.com/watch?v=1PvBc2TOpE4&feature=youtu.be
118128,Stromae,Tous les memes,
118131,My Chemical Romance,Fake Your Death,
118137,Indila,Derniere Danse,
118138,Calvin Harris,Summer,https://www.youtube.com/watch?v=McEoTIqoRKk&feature=youtu.be
